path	area	relation	forest_sha256	root_sha256	forest_size	root_size	forest_lines	root_lines	root_added_lines	root_deleted_lines	shared_contract_count	root_unique_contract_count	forest_unique_contract_count	forest_parse_status	root_parse_status
apps/web/src/people/leave/LeaveApprovalQueue.tsx	leave-ui	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	322a967fc27ccc7eb87f93c312fa5aa838aeaae7f2ce76434cebba22f88e5b03	9233d7977f7b46c1cb2b0caad9e05b1a93be46a0aec72a19d632491140bc918e	16105	15926	256	256	2	2	6	0	0	PASS	PASS
apps/web/src/people/leave/LeavePromotionPage.tsx	leave-ui	FOREST_EXTENDS_EXTRACTED_CONTRACT	4a8d23f633cfffca49916160bc172499bb31cdcbd50c24d50031814e03731204	9ff8e74b286148c7c06ec6ffb32c86b4d246a8c4e0fd2f1ba361175fe8719348	24330	16264	344	226	32	150	16	0	3	PASS	PASS
apps/web/src/people/leave/LeaveRequestPage.tsx	leave-ui	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	c5250816ee96f0d8418505ebd5bae6a294bc2b1b24f8c7f9a7dcd25ee455336f	879fd0adff5ccaa1f64dcbe679a808d285a2713b47dcb3fa4d4fb8f7a94e99fc	25776	23897	393	354	6	45	7	0	0	PASS	PASS
apps/web/src/people/leave/LeaveTerminationPage.tsx	leave-ui	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	798cadfebdc5f4e1fd6a977549ce2cc92be1c46c5c717edb3c85de89ac2f744a	cffa953ad11ce0f723a04029007f0249541688e28ee7a01e98f1baee70fa1802	9022	9336	139	135	7	11	7	0	0	PASS	PASS
apps/web/src/people/leave/LeaveTypeSettingsPage.tsx	leave-ui	FOREST_EXTENDS_EXTRACTED_CONTRACT	dd52ff89f2c96213f0050cff9719b9a970131802f5970e4534cd65c8ba9256c0	78183bc3c42b644500d93eda324755fa3c4a3d4dbbe2a5677632d5ea876091d4	24392	15148	398	270	5	133	10	0	1	PASS	PASS
apps/web/src/people/leave/LeaveUsagePage.tsx	leave-ui	BIDIRECTIONAL_CONTRACT_DELTA	09f7971e72dd3763914beab761b67c6364af6b6254987f9aecf2a752415d4129	4d7aa6139fcae0620ec66e195f14c92df97de2897fcdbf1b832d1ba22770a4d6	32802	13027	480	208	96	368	6	1	25	PASS	PASS
apps/web/src/people/memberPhotos.js	web-runtime	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	4f3338d1098ad69ff54dd31c969d1a24f4588b059b3305e7c52d4b70cb544be4	a59ea13778e9082bb4eff53e19acf82f56d4048a24ecddd71491a8ab2ac8940c	200	317	5	7	4	2	1	0	0	PASS	PASS
apps/web/test/leave-accrual-ui.test.mjs	web-test	BIDIRECTIONAL_CONTRACT_DELTA	5640112a9647ddc0d9853fa9f2b3754acc917a26a31ec03bd595571f0a8bb31e	58bfb6ae696deabbf845015cb14822b03cc6e887348c3ad49d5e568d1855fafc	5657	5340	92	98	35	29	7	2	1	PASS	PASS
apps/web/test/leave-integration-ui.test.mjs	web-test	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	696d075d009ce773f6bbde67aa6cf84b7a0693432bb0c7c59c4f10c3f84ae804	edc4d1d12d1d5056eef17fb00a98b65653d998e3353a937d47c60d6b5580d3fb	2345	1720	42	35	2	9	6	0	0	PASS	PASS
apps/web/test/leave-promotion-ui.test.mjs	web-test	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	07cdd10901066d9281238dbb310d63cf5e25b871cc404fd7c75baa90c334d77c	54dac24ab91f1aaa86186fecb4535504141e8972cde415aa3d5fc953be29246a	4219	3245	69	58	4	15	8	0	0	PASS	PASS
apps/web/test/leave-reporting-ui.test.mjs	web-test	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	96d25179aff71e13138f660430b6f7f54a7b4993b16bbbed432ee6c6870c4227	439d6ae60e8469a0daa5a1c694b7f9551f645a8a88c1dab6d129673e33e0a358	6794	4736	100	76	8	32	8	0	0	PASS	PASS
apps/web/test/leave-self-service-ui.test.mjs	web-test	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	b63091fce4f328531601dc36de5bf562f4ac65a07446c8ebba543a92923fec36	bae20ef61e852f594ca2a37fe2697e067d2effde56791aeca3c7bdc91283aef1	4163	3829	80	75	2	7	8	0	0	PASS	PASS
