path,git_status,extension,bytes,git_last_change,age_days,top_folder,folder2,doc_class,candidate_action,reason
artifacts/closeout-pack-claude-review/cp00-853/raw-output-invalid-attempt-01.json,tracked,.json,2699,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/raw-output-invalid-attempt-02.json,tracked,.json,2232,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/raw-output-invalid-attempt-03.json,tracked,.json,2699,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/raw-output-invalid-attempt-04.json,tracked,.json,2587,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/raw-output-invalid-attempt-05.json,tracked,.json,2674,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/review-receipt-invalid-attempt-01.json,tracked,.json,1394,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/review-receipt-invalid-attempt-02.json,tracked,.json,1397,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/review-receipt-invalid-attempt-03.json,tracked,.json,1394,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/review-receipt-invalid-attempt-04.json,tracked,.json,1395,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-853/review-receipt-invalid-attempt-05.json,tracked,.json,1385,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-859/raw-output-invalid-attempt-01.json,tracked,.json,675,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-859/raw-output-invalid-attempt-02.json,tracked,.json,2621,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
