path	capability	preservation	checkpoint_relation	mode	size	checkpoint_sha256	current_sha256
packages/hrx/test/payroll-document-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	8911	0a8bdceb348b87db593497be66e8b9b279e7b5c9b4d88a78201488b1edc0084e	0a8bdceb348b87db593497be66e8b9b279e7b5c9b4d88a78201488b1edc0084e
packages/hrx/test/payroll-filing-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	11594	c7d73694ccb403dcb30bbba4e93f07956b853a3426f3eb03b3f8634ad90fe3d2	c7d73694ccb403dcb30bbba4e93f07956b853a3426f3eb03b3f8634ad90fe3d2
packages/hrx/test/payroll-input-snapshot-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	19011	33737686b35cf7affca631c9bcc93ea5c3569e83e21dc1f93748769667904412	33737686b35cf7affca631c9bcc93ea5c3569e83e21dc1f93748769667904412
packages/hrx/test/payroll-migration-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	4182	0db79b2e2d3f43f7a533cc9e9ffb7107e8055a27cc3ba76b25a051b135f473f7	0db79b2e2d3f43f7a533cc9e9ffb7107e8055a27cc3ba76b25a051b135f473f7
packages/hrx/test/payroll-money.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	1476	371ddd0d606bff6e8d048d9a3c72248ee1353920eb95630efd6cd2829f58dbf3	371ddd0d606bff6e8d048d9a3c72248ee1353920eb95630efd6cd2829f58dbf3
packages/hrx/test/payroll-parallel-comparison-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	2573	9a3b4f4f983109d93a844d6720751b04a2aaec3675cdff0aadfb74679a01b0f5	9a3b4f4f983109d93a844d6720751b04a2aaec3675cdff0aadfb74679a01b0f5
packages/hrx/test/payroll-payment-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	9444	7288c125fe9ce8b38187a6687045dd2e59f9fd8354ace7490619ca0fc4e36863	7288c125fe9ce8b38187a6687045dd2e59f9fd8354ace7490619ca0fc4e36863
packages/hrx/test/payroll-readiness-contract.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	2397	a6458fc74ec79e2de431ad25de1d198cb3c9f4a02f8d7fc78c737c6f3106c31d	a6458fc74ec79e2de431ad25de1d198cb3c9f4a02f8d7fc78c737c6f3106c31d
packages/hrx/test/payroll-repository.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	14864	964df6210da85bbee5cb1b83d6597791506608dfb6e0012105fb62f599b9d22c	964df6210da85bbee5cb1b83d6597791506608dfb6e0012105fb62f599b9d22c
packages/hrx/test/payroll-run-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	11863	972da8cd163974fbc96e8c631655afd2e3800f0e0f746f1197067b6012466654	972da8cd163974fbc96e8c631655afd2e3800f0e0f746f1197067b6012466654
packages/hrx/test/payroll-statutory-rule-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	2490	45c67c451465aa3d2086e5f5da6d6a9a155fadf4d8d075a2127df1c25762850b	45c67c451465aa3d2086e5f5da6d6a9a155fadf4d8d075a2127df1c25762850b
packages/hrx/test/payroll-year-end-service.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	6249	1baf16ce37b8b7743f89039779a0386d760f5c05e51f4f6d8348e94ead4b46e1	1baf16ce37b8b7743f89039779a0386d760f5c05e51f4f6d8348e94ead4b46e1
packages/hrx/test/provider-receipt-contract.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	2169	67c42dfe45d9f6a52a34c9c4378bb17c8cd0cb300725fea9dbba6e6e98d83765	67c42dfe45d9f6a52a34c9c4378bb17c8cd0cb300725fea9dbba6e6e98d83765
scripts/generate-forest-checkpoint-evidence.mjs	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_QA_TOOL	BYTE_IDENTICAL	644	14985	a7268d6d5d4191dce733b8c6f97cdcba8225a01b2a5f71c7fb627f54f7d930fc	a7268d6d5d4191dce733b8c6f97cdcba8225a01b2a5f71c7fb627f54f7d930fc
scripts/run-leave-management-packaged-qa.mjs	LEAVE	PRESERVE_QA_TOOL	BYTE_IDENTICAL	644	49630	f81dc85b9bdc680ab1a9d4a13cf4c9f54fb53cb58e307274680736ef59dd210f	f81dc85b9bdc680ab1a9d4a13cf4c9f54fb53cb58e307274680736ef59dd210f
scripts/run-payroll-browser-qa.mjs	PAYROLL	PRESERVE_QA_TOOL	BYTE_IDENTICAL	644	15573	83c6c07579158dfb15848a6a621b01ea1d8f5b21620ea7bed22920024565ad9e	83c6c07579158dfb15848a6a621b01ea1d8f5b21620ea7bed22920024565ad9e
scripts/run-payroll-packaged-qa.mjs	PAYROLL	PRESERVE_QA_TOOL	BYTE_IDENTICAL	644	23154	9cc1f65e0b3121c36e3c67cff033e595be00b94fb76bdece9ba9236e44216f83	9cc1f65e0b3121c36e3c67cff033e595be00b94fb76bdece9ba9236e44216f83
workbook/forest-v0.1.17-integration-evidence/FZ-001/acceptance.md	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	301	dfea032a1d5bb33716b472ccdb28c23948c372f3681de71c46037bd55c3ad61d	dfea032a1d5bb33716b472ccdb28c23948c372f3681de71c46037bd55c3ad61d
workbook/forest-v0.1.17-integration-evidence/FZ-001/commands.txt	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	224	0d1e59d356179b72b8d3b8beae229234a50a2ef276203dc28dad3012ee60309a	0d1e59d356179b72b8d3b8beae229234a50a2ef276203dc28dad3012ee60309a
workbook/forest-v0.1.17-integration-evidence/FZ-001/receipt.json	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	394	d799635bd1a3b541e82c939dd1d4d0086289878a2037a2522ad19c21f6fe980e	d799635bd1a3b541e82c939dd1d4d0086289878a2037a2522ad19c21f6fe980e
workbook/forest-v0.1.17-integration-evidence/FZ-002/acceptance.md	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	260	0a30987de0b58b7782616ba0fe85f1f2711c5e2900287f66993ab3975ec0f185	0a30987de0b58b7782616ba0fe85f1f2711c5e2900287f66993ab3975ec0f185
workbook/forest-v0.1.17-integration-evidence/FZ-002/manifest.tsv	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	28499	625b1ee3f2183b8b5aa351d6e5278fdad66b47946cbcfe777a54d786c74a598e	625b1ee3f2183b8b5aa351d6e5278fdad66b47946cbcfe777a54d786c74a598e
workbook/forest-v0.1.17-integration-evidence/FZ-002/receipt.json	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	749	41a3591c1a8d107d912ad4efcc52dc20fab23e9b787c6e59353366fa31d62f86	41a3591c1a8d107d912ad4efcc52dc20fab23e9b787c6e59353366fa31d62f86
workbook/forest-v0.1.17-integration-evidence/FZ-003/acceptance.md	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	244	a8be5b40205d17e2a72bcbaee92e571eb30a330767f2f70857061559e0f02e00	a8be5b40205d17e2a72bcbaee92e571eb30a330767f2f70857061559e0f02e00
workbook/forest-v0.1.17-integration-evidence/FZ-003/commands.txt	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	53	38333cc34ec8f829ccd53034ef7d9e068e90a56ffd5252d14bbd5ba4c32a48a9	38333cc34ec8f829ccd53034ef7d9e068e90a56ffd5252d14bbd5ba4c32a48a9
workbook/forest-v0.1.17-integration-evidence/FZ-003/security-scan.json	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	12645	621e4aeba100ae3fa0f264bda0267d8b2cf8572b843aae2a79cf6dde809c3f21	621e4aeba100ae3fa0f264bda0267d8b2cf8572b843aae2a79cf6dde809c3f21
workbook/forest-v0.1.17-integration-evidence/FZ-004/acceptance.md	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	471	95c3e2ba9e03e1b1fd385a3a1ada372409c07576cf0e52faa3a228b90b8de06b	95c3e2ba9e03e1b1fd385a3a1ada372409c07576cf0e52faa3a228b90b8de06b
workbook/forest-v0.1.17-integration-evidence/FZ-004/commands.txt	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	326	6f62422dd5c58b5d7d3e36ef47d9154692cf02fdef5d5bf38aea59daa014555d	6f62422dd5c58b5d7d3e36ef47d9154692cf02fdef5d5bf38aea59daa014555d
workbook/forest-v0.1.17-integration-evidence/FZ-004/receipt.json	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	672	b1387a798dd4c09015cf33dc317ce86f9aa9b2af61820fd2c837ee4064ff4323	b1387a798dd4c09015cf33dc317ce86f9aa9b2af61820fd2c837ee4064ff4323
workbook/forest-v0.1.17-integration-evidence/FZ-005/precommit-security-scan.json	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_CHECKPOINT_EVIDENCE	BYTE_IDENTICAL	644	12649	3006822bf821875327b84b4c93cff864d1ac519a7e02f3a18ed8d282a02702a7	3006822bf821875327b84b4c93cff864d1ac519a7e02f3a18ed8d282a02702a7
workbook/hrx-leave-payroll-tuw-implementation-plan-2026-07-14.md	PAYROLL	PRESERVE_PLAN	BYTE_IDENTICAL	644	59663	fa9eaa8ccb34080b42e2016935c024600e5c0714fa39e833ee11df4a52552340	fa9eaa8ccb34080b42e2016935c024600e5c0714fa39e833ee11df4a52552340
